obstime,tempr,ap,ws,wd,rh
14-01-2012 09:00:00 AM,0.7,977.7,10.1,-999,-999
14-01-2012 10:00:00 AM,0.7,977.9,6.2,-999,-999
14-01-2012 11:00:00 AM,3.1,978.3,14.0,-999,-999
14-01-2012 12:00:00 PM,3.2,978.4,10.0,-999,-999
14-01-2012 01:00:00 PM,2.6,978.8,12.5,-999,-999
14-01-2012 02:00:00 PM,1.8,979.0,21.5,-999,-999
14-01-2012 03:00:00 PM,1.4,979.0,23.3,-999,-999
14-01-2012 04:00:00 PM,0.9,979.1,19.9,-999,-999
14-01-2012 05:00:00 PM,0.5,979.1,20.3,-999,-999
14-01-2012 06:00:00 PM,0.2,979.6,21.5,-999,-999
14-01-2012 07:00:00 PM,-0.3,980.3,19.0,-999,-999
14-01-2012 08:00:00 PM,-1.1,981.0,16.9,-999,-999
14-01-2012 09:00:00 PM,-1.5,981.5,15.4,-999,-999
14-01-2012 10:00:00 PM,-1.9,981.7,17.4,-999,-999
14-01-2012 11:00:00 PM,-2.1,981.8,15.3,-999,-999
15-01-2012 12:00:00 AM,-1.8,982.0,15.4,-999,-999
15-01-2012 01:00:00 AM,-1.9,982.3,13.9,-999,-999
15-01-2012 02:00:00 AM,-2.1,982.5,14.2,-999,-999
15-01-2012 03:00:00 AM,-2.3,982.8,16.9,-999,-999
15-01-2012 04:00:00 AM,-2.4,983.0,16.1,-999,-999
15-01-2012 05:00:00 AM,-1.8,983.0,15.2,-999,-999
15-01-2012 06:00:00 AM,-1.5,983.1,15.6,-999,-999
15-01-2012 07:00:00 AM,-1.1,983.4,14.6,-999,-999
15-01-2012 08:00:00 AM,-0.8,983.5,14.2,-999,-999
15-01-2012 09:00:00 AM,0.2,983.5,14.8,-999,-999
15-01-2012 10:00:00 AM,-0.2,983.8,16.6,-999,-999
15-01-2012 11:00:00 AM,0.5,983.7,16.0,-999,-999
15-01-2012 12:00:00 PM,0.4,983.6,13.8,-999,-999
15-01-2012 01:00:00 PM,1.4,983.2,15.6,-999,-999
15-01-2012 02:00:00 PM,2.1,982.9,15.4,-999,-999
15-01-2012 03:00:00 PM,1.6,982.8,15.7,-999,-999
15-01-2012 04:00:00 PM,0.8,982.6,12.7,-999,-999
15-01-2012 05:00:00 PM,0.2,982.4,9.8,-999,-999
15-01-2012 06:00:00 PM,-0.6,982.0,11.5,-999,-999
15-01-2012 07:00:00 PM,-0.8,982.1,11.1,-999,-999
15-01-2012 08:00:00 PM,-1.3,982.2,10.0,-999,-999
15-01-2012 09:00:00 PM,-2.0,981.9,14.0,-999,-999
15-01-2012 10:00:00 PM,-2.6,981.5,15.9,-999,-999
15-01-2012 11:00:00 PM,-2.6,981.2,13.2,-999,-999
16-01-2012 12:00:00 AM,-1.7,981.1,13.2,-999,-999
16-01-2012 01:00:00 AM,-2.3,981.2,15.4,-999,-999
16-01-2012 02:00:00 AM,-3.0,981.1,15.6,-999,-999
16-01-2012 03:00:00 AM,-2.8,980.8,16.7,-999,-999
16-01-2012 04:00:00 AM,-2.3,980.5,15.6,-999,-999
16-01-2012 05:00:00 AM,-2.3,980.6,16.7,-999,-999
16-01-2012 06:00:00 AM,-1.8,980.7,18.6,-999,-999
16-01-2012 07:00:00 AM,-1.2,981.1,16.1,-999,-999
16-01-2012 08:00:00 AM,-0.5,980.9,18.7,-999,-999
16-01-2012 09:00:00 AM,-0.8,981.3,20.7,-999,-999
16-01-2012 10:00:00 AM,-0.5,981.3,19.1,-999,-999
16-01-2012 11:00:00 AM,0.5,981.3,19.2,-999,-999
